text_hash	cluster_size	score_mean	score_median	score_min	score_max
17d9e336ca068e05f4e3094e44614853d211c2e48290c581b545dc4d87633e25	803	35.927064	35.927064	35.927064	35.927064
ca481b35ff0f62216acadefd6e9365b73e144381c4008ea98f2fd4f6aa8206e9	484	-38.338387	-38.338387	-38.338387	-38.338387
188c2ca737571b243cf4a8a3bc311301f114e83c852f73f7ed8de3bd35bd4d01	365	22.512821	22.512821	22.512821	22.512821
30815cc7075d282ce10cc91319e2f625df3326aee349631dbd54a2147204b85c	182	-13.251204	-13.251204	-13.251204	-13.251204
a48fdbfba9181fa903db495b76ced8d7aee0860be4e423b08f42b373803206d2	168	6.435462	6.435462	6.435462	6.435462
fe35183c072f09c8204048e53454d2c4746e3c82244f6bc9f1debc4b61c6a377	138	-2.231238	-2.231238	-2.231238	-2.231238
f50d2fd4b5b82425bd5e694376a79e27cca28fca49cac3a7bb8a84602d86b2b0	129	8.632289	8.632289	8.632289	8.632289
73a93f69aa8b714ad25d546230dc0ac4775de366475c971f35092a3cdfbaa06a	88	34.749145	34.749145	34.749145	34.749145
9aed11058836f12e0bd38da6a1708219402d5b16568a768838a4165ee3ae20c5	85	31.985166	31.985166	31.985166	31.985166
2de7142905efeadd480cbd5615e94f64ba9156ae9d3accadcd8a25d6ed94669e	81	31.214182	31.214182	31.214182	31.214182
46e20efcffb7995b07782997809556b18b109834664ff160ad85cecef27bb201	70	12.049001	12.049001	12.049001	12.049001
a42fb23b52aa0b62456f57e15e2b13cac756bb9e121cc110ae8a661fe2dd3593	65	6.202623	6.202623	6.202623	6.202623
fce4f0175346f3ce10066a0041df0a12ad400f8bade952148d1481341f1f9019	61	23.082370	23.082370	23.082370	23.082370
5e8334acd40f24924b6a4c0fe444646d76007922ecb4b4b7855b2e26082a06d2	51	15.932007	15.932007	15.932007	15.932007
56eed837a34bba239d3ed7c96c281339de45554706d2f826c7edb1730a2f69d4	32	14.266553	14.266553	14.266553	14.266553
4fdf13fd2948c9de019d1d7920311869abb5f4711e13a737b55573d5c308b2b6	31	28.005694	28.005694	28.005694	28.005694
c1cf2a8ca03fcac38fe2cb7462aa300499186875387c84244c44eb746643b41d	29	22.498186	22.498186	22.498186	22.498186
d4fecc969e512b8792b75f8a359a25201506d8ddb6f02e1f6d573fd1e4595970	29	16.148225	16.148225	16.148225	16.148225
87dd43ec8a6565eb535ab29f9372ed78c7fe90088459c97d5a05cf32bede151f	27	22.879681	22.879681	22.879681	22.879681
5f37d3d961c230debea24931e6a6d964f3dfe5c0a1fa8d3fd279bcafe9d02429	27	21.412242	21.412242	21.412242	21.412242
a653608e28a7c472e9e508f1ad39f91c971d5922cb7b87cab8a5235918dbdf16	25	62.613389	62.613389	62.613389	62.613389
cd364f3413f4f2b0cee66668b015ad4730edad11ba0bb2f54353aae5eb14ea83	25	10.760339	10.760339	10.760339	10.760339
91da0c81b47f4312e060f4db4755b087fcdee85724e5f69c0c991c4fca63467c	23	93.080755	93.080755	93.080755	93.080755
b8380cc27762ef0134f5cb9c555a3549dd8317ff74b423a2d6b427a22fb42832	23	26.108153	26.108153	26.108153	26.108153
d3fa070710ccf63f000a108418ead3df4949d04a9d381279fc5fa0d44cf5baae	21	32.141934	32.141934	32.141934	32.141934
911374f92372a900405faeabe87f08205adc02f936e8a410a7312c4d8507561f	21	23.846798	23.846798	23.846798	23.846798
17b60d4476625f2e41e368c5125329228ae4d220b0cf487b9b79264d43f8fdda	20	11.724561	11.724561	11.724561	11.724561
